dx,dy,action
130,188,RIGHT
125,188,RIGHT
120,188,RIGHT
115,188,RIGHT
110,188,RIGHT
105,188,RIGHT
100,188,RIGHT
95,188,RIGHT
90,188,RIGHT
85,188,RIGHT
80,188,RIGHT
75,188,RIGHT
70,188,RIGHT
65,188,RIGHT
60,188,RIGHT
55,188,RIGHT
50,188,DOWN
45,183,DOWN
40,178,DOWN
35,173,DOWN
30,168,DOWN
25,163,DOWN
20,158,DOWN
15,153,DOWN
10,148,DOWN
5,143,DOWN
0,138,DOWN
-5,133,DOWN
-10,128,DOWN
-15,123,DOWN
-20,118,DOWN
-25,113,DOWN
-30,108,DOWN
-35,103,DOWN
-40,98,DOWN
-45,93,DOWN
-50,88,DOWN
-55,83,DOWN
-60,78,DOWN
-65,73,DOWN
-70,68,DOWN
-75,63,DOWN
-80,58,DOWN
-85,53,DOWN
-90,48,DOWN
-95,43,DOWN
-90,38,DOWN
-85,33,DOWN
-80,28,DOWN
-75,23,DOWN
-70,18,LEFT
-65,18,LEFT
-60,18,LEFT
-55,18,LEFT
-50,18,LEFT
-45,18,LEFT
-40,18,LEFT
-35,18,LEFT
-30,18,LEFT
-25,18,LEFT
-20,18,LEFT
-15,18,LEFT
-10,18,LEFT
177,16,LEFT
182,16,LEFT
187,16,LEFT
192,16,LEFT
197,16,LEFT
202,16,LEFT
207,16,LEFT
212,16,LEFT
217,16,UP
222,21,UP
227,26,UP
232,31,UP
237,36,UP
242,41,UP
242,46,UP
242,51,UP
237,56,UP
232,61,UP
227,66,UP
222,71,RIGHT
217,71,RIGHT
212,71,RIGHT
207,71,RIGHT
202,71,RIGHT
197,71,RIGHT
192,71,RIGHT
187,71,RIGHT
182,71,RIGHT
177,71,RIGHT
172,71,RIGHT
167,71,RIGHT
162,71,RIGHT
157,71,RIGHT
152,71,RIGHT
147,71,RIGHT
142,71,RIGHT
137,71,RIGHT
132,71,RIGHT
127,71,RIGHT
122,71,RIGHT
117,71,RIGHT
112,71,RIGHT
107,71,RIGHT
102,71,RIGHT
97,71,RIGHT
92,71,RIGHT
87,71,RIGHT
82,71,RIGHT
77,71,RIGHT
72,71,DOWN
67,66,DOWN
62,61,DOWN
57,56,DOWN
52,51,DOWN
47,46,DOWN
42,41,DOWN
37,36,DOWN
32,31,DOWN
246,30,DOWN
241,25,DOWN
236,20,DOWN
231,15,DOWN
226,10,DOWN
221,5,RIGHT
216,5,RIGHT
211,5,RIGHT
206,5,RIGHT
201,5,RIGHT
196,5,RIGHT
191,5,RIGHT
186,5,RIGHT
181,5,UP
176,10,UP
171,15,UP
166,20,UP
161,25,UP
156,30,UP
151,35,UP
146,40,RIGHT
141,40,RIGHT
136,40,RIGHT
131,40,RIGHT
126,40,RIGHT
121,40,RIGHT
116,40,RIGHT
111,40,RIGHT
106,40,RIGHT
101,40,RIGHT
96,40,RIGHT
91,40,RIGHT
86,40,RIGHT
81,40,RIGHT
76,40,RIGHT
71,40,DOWN
66,35,DOWN
61,30,DOWN
56,25,DOWN
51,20,DOWN
46,15,DOWN
41,10,DOWN
36,5,DOWN
31,0,DOWN
-301,-76,RIGHT
-306,-76,RIGHT
-311,-76,RIGHT
-316,-76,RIGHT
-321,-76,RIGHT
-326,-76,RIGHT
-331,-76,RIGHT
-336,-76,RIGHT
-341,-76,UP
-346,-71,UP
-351,-66,UP
-351,-61,UP
-351,-56,UP
-351,-51,UP
-351,-46,UP
-351,-41,UP
-346,-36,UP
-341,-31,UP
-336,-26,UP
-331,-21,LEFT
-326,-21,LEFT
-321,-21,LEFT
-316,-21,LEFT
-311,-21,LEFT
-306,-21,LEFT
-301,-21,LEFT
-296,-21,LEFT
-291,-21,LEFT
-286,-21,LEFT
-281,-21,LEFT
-276,-21,LEFT
-271,-21,LEFT
-266,-21,LEFT
-261,-21,LEFT
-256,-21,LEFT
-251,-21,LEFT
-246,-21,LEFT
-241,-21,LEFT
